"SampleID","HBG2","STMN2","PRG2","S100A2","PSG5","Cluster"
"SRR1274180",-1,-1,-1,13.8827871588403,-1,"C3"
"SRR1274181",-1,-1,-1,13.7094588085023,0.638212885423406,"C3"
"SRR1274182",-1,-1,-1,13.8830537921858,-1,"C3"
"SRR1274183",-1,-1,-1,13.9829062993401,-1,"C3"
"SRR1274184",-1,-1,-1,14.2944543009849,-1,"C3"
"SRR1274185",-1,-1,-1,14.1852427944744,-1,"C3"
"SRR1274186",-1,-1,-1,12.9259317906411,-1,"C3"
"SRR1274187",-1,-1,-1,13.3143921184201,-1,"C3"
"SRR1274192",-1,-1,-1,-1,-1,"C6"
"SRR1274193",-1,-1,-1,-1,-1,"C6"
"SRR1274194",-1,-1,-1,3.64886805292433,-1,"C6"
"SRR1274195",-1,-1,-1,-1,-1,"C6"
"SRR1274196",-1,0.0137838154330997,-1,-1,-1,"C6"
"SRR1274197",-1,-1,-1,-1,-1,"C6"
"SRR1274198",-1,-1,-1,5.88575249399996,-1,"C6"
"SRR1274199",-1,-1,-1,-1,-1,"C6"
"SRR1274200",-1,-1,-1,-1,-1,"C6"
"SRR1274201",-1,-1,-1,-1,-1,"C6"
"SRR1274202",-1,-1,-1,0.419107366784361,-1,"C6"
"SRR1274203",-1,-1,-1,-1,-1,"C6"
"SRR1274204",-1,-1,-1,-1,-1,"C6"
"SRR1274205",-1,-1,-1,-1,-1,"C6"
"SRR1274206",-1,-1,-1,-1,-1,"C6"
"SRR1274207",-1,-1,-1,-1,-1,"C6"
"SRR1274208",-1,-1,-1,3.48888771701333,-1,"C6"
"SRR1274210",-1,-1,-1,7.50174644150528,-1,"C6"
"SRR1274211",-1,-1,-1,7.14800975985915,-1,"C6"
"SRR1274212",-1,-1,-1,3.17917661199782,3.52904630489601,"C6"
"SRR1274214",-1,-1,-1,5.18437155112043,-1,"C6"
"SRR1274215",-1,-1,-1,-1,-1,"C6"
"SRR1274216",-1,-1,-1,2.52914628203026,-1,"C6"
"SRR1274217",-1,-1,-1,-1,-1,"C6"
"SRR1274218",-1,-1,-1,-1,-1,"C6"
"SRR1274219",-1,-1,-1,-1,-1,"C6"
"SRR1274220",-1,-0.559154081762734,-1,2.33436804636191,-1,"C6"
"SRR1274221",-1,-1,-1,-1,-1,"C6"
"SRR1274222",-1,1.14463377288515,-1,3.34539637539127,-1,"C6"
"SRR1274223",-1,-1,-1,-1,-1,"C6"
"SRR1274224",-1,-1,-1,2.74646326327429,-1,"C6"
"SRR1274226",-1,-1,-1,5.18039852833569,-1,"C6"
"SRR1274227",-1,-1,-1,-1,-1,"C6"
"SRR1274228",-1,-1,-1,4.62673115067279,-1,"C6"
"SRR1274229",-1,-1,-1,-1,-1,"C6"
"SRR1274230",-1,-1,-1,-1,-1,"C6"
"SRR1274231",-1,-1,-1,-1,-1,"C6"
"SRR1274232",-1,-1,-1,-1,-1,"C6"
"SRR1274233",-1,-1,-1,-1,-1,"C6"
"SRR1274234",-1,-1,-1,3.52231944890936,-1,"C6"
"SRR1274235",-1,-1,-1,7.46790465414871,-1,"C6"
"SRR1274236",-1,-1,-1,-1,-1,"C7"
"SRR1274237",-1,-1,-1,-1,-1,"C7"
"SRR1274238",-1,-1,-1,-1,-1,"C7"
"SRR1274239",-1,-1,-1,-1,-1,"C7"
"SRR1274240",-1,-1,-0.307037247227081,-1,-1,"C7"
"SRR1274241",-1,-1,-1,-1,-1,"C7"
"SRR1274242",-1,0.19295161806985,-1,2.76898883306782,-1,"C7"
"SRR1274243",-1,-1,-1,-1,-1,"C7"
"SRR1274244",-1,-1,-1,-1,-1,"C7"
"SRR1274245",-1,-1,-1,-1,-1,"C7"
"SRR1274246",-1,-1,5.86267702725297,-1,-1,"C7"
"SRR1274247",-1,-1,6.9090061986367,-1,-1,"C7"
"SRR1274248",-1,-1,-1,-1,-1,"C7"
"SRR1274249",-1,-1,-1,-1,-1,"C7"
"SRR1274250",-1,-1,-1,-1,-1,"C7"
"SRR1274251",-1,-1,-1,-1,-1,"C7"
"SRR1274252",-1,-1,-1,-1,-1,"C7"
"SRR1274253",-1,-1,-1,-1,-1,"C7"
"SRR1274254",-1,-1,-0.318505756585215,-1,-1,"C7"
"SRR1274255",-1,-1,-1,-1,-1,"C7"
"SRR1274256",-1,0.113167056732735,-1,6.94322512151465,-1,"C7"
"SRR1274257",-1,-1,-1,7.52659000380664,-1,"C7"
"SRR1274258",-1,-1,-1,-1,-1,"C7"
"SRR1274259",-1,-1,-1,-1,-1,"C7"
"SRR1274260",-1,-1,-1,-1,-1,"C7"
"SRR1274261",-1,-1,-1,-1,-1,"C7"
"SRR1274262",-1,-1,-1,-1,-1,"C7"
"SRR1274263",-1,-1,-1,-1,-1,"C7"
"SRR1274264",-1,-1,-1,-1,-1,"C7"
"SRR1274265",-1,-1,-1,-1,-1,"C7"
"SRR1274266",-1,-1,-1,-1,-1,"C7"
"SRR1274268",-1,-1,-0.0667295284676728,-1,-1,"C7"
"SRR1274269",-1,-1,-1,-1,-1,"C7"
"SRR1274270",-1,-1,-1,-1,10.2347433189872,"C4"
"SRR1274274",-1,-1,-1,2.99810521903664,10.0023617469328,"C4"
"SRR1274275",-1,-1,-1,-1,10.1565761130365,"C4"
"SRR1274276",-1,-1,-1,1.70199255373134,9.68658596581588,"C4"
"SRR1274277",-1,-1,-1,5.31806009832107,9.53125063723735,"C4"
"SRR1274278",-1,-1,-1,-1,10.553640236472,"C4"
"SRR1274279",-1,-1,-1,-1,10.4986120945247,"C4"
"SRR1274280",-1,-1,-1,-1,12.2639461045523,"C4"
"SRR1274281",-1,-1,-1,-1,12.3833616657128,"C4"
"SRR1274282",-1,7.45300223895608,-1,1.94860084749336,10.8428710654814,"C4"
"SRR1274283",-1,7.6785839427982,-1,-1,10.9046174627519,"C4"
"SRR1274284",-1,-1,-1,2.93781516880342,10.5499018881729,"C4"
"SRR1274285",-1,-1,-1,-1,10.6264762805057,"C4"
"SRR1274286",-1,-1,-1,1.46962553850123,11.2378384181545,"C4"
"SRR1274287",-1,-1,-1,-1,11.1349890412235,"C4"
